id,token
0,sakshi
1,ki
2,landline
3,mein
4,call
5,karo
6,call
7,karo
8,chacha
9,ko
10,mobile
11,pe
12,dadaji
13,ke
14,mobile
15,pe
16,call
17,karo
18,vinuth
19,ko
20,redial
21,karo
22,mere
23,sasurji
24,ke
25,ghar
26,wale
27,number
28,par
29,abhi
30,ke
31,abhi
32,phone
33,ghumao
34,gudiya
35,ki
36,mobile
37,pe
38,dial
39,karo
40,meri
41,baat
42,karao
43,abhijeet
44,se
45,sim
46,2
47,card
48,use
49,karna
50,mausa
51,ji
52,ko
53,jaldi
54,se
55,ring
56,back
57,karien
58,mujhe
59,sim
60,2
61,se
62,mom
63,ko
64,call
65,karna
66,hain
67,mujhe
68,abhi
69,nani
70,se
71,baat
72,karni
73,hain
74,dadi
75,ke
76,landline
77,number
78,par
79,phone
80,karo
81,phuphi
82,ji
83,ko
84,call
85,karo
86,please
87,varun
88,ko
89,phone
90,lagiyen
91,rasika
92,ke
93,office
94,ke
95,number
96,par
97,call
98,please
99,mujhe
100,angad
101,se
102,baat
103,karni
104,hai
105,baat
106,karao
107,zara
108,sabina
109,se
110,tarun
111,ki
112,durvas
113,yantra
114,mein
115,numbar
116,lagaye
117,nandoi
118,ji
119,ki
120,number
121,miliyen
122,please
123,waseem
124,ko
125,call
126,kariye
127,abhi
128,ke
129,abhi
130,surabhi
131,ki
132,landline
133,mein
134,call
135,back
136,karien
137,is
138,page
139,ki
140,picture
141,click
142,karo
143,is
144,page
145,ka
146,screenshot
147,lene
148,me
149,meri
150,help
151,kar
152,do
153,screenshot
154,lijiye
155,aur
156,gallery
157,mein
158,save
159,kijiye
160,please
161,capture
162,the
163,screen
164,ho
165,sake
166,to
167,is
168,page
169,ka
170,ek
171,screen
172,shot
173,le
174,lo
175,mujhe
176,screenshot
177,chahiye
178,kripaya
179,screenshot
180,khicho
181,kripaya
182,screenshot
183,lijiye
184,kia
185,ye
186,wali
187,screen
188,k
189,chitra
190,khich
191,sakte
192,hain
193,mere
194,phone
195,ke
196,wallpaper
197,ka
198,screenshot
199,lo
200,mere
201,phopne
202,ke
203,page
204,ka
205,screenshot
206,lo
207,screenshot
208,le
209,le
210,ye
211,phone
212,screen
213,ki
214,picture
215,lekar
216,save
217,karo
218,kia
219,screenshot
220,save
221,kar
222,sakte
223,hain
224,screenshot
225,ko
226,lijiye
